=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-6-19_0-0-20
====================================================================================
0:0:20 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
0:0:21 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
0:0:21 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
0:0:21 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
0:0:21 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
0:0:21 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
0:0:21 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
0:0:21 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
0:0:21 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
0:0:21 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
0:0:21 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
0:0:21 | Building Sets Loaded: 1
0:0:21 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
1:38:51 | Player "Teddybear" (steamId=76561198190486863) connected to server!
1:40:56 | "76561198190486863" (steamid=76561198190486863) teleported to (pos=<4508.189941, 15.855050, 10988.500000>)
1:40:56 | "Teddybear": (steamid=76561198190486863) teleported to (pos=4508.19,0,10988.5)
1:42:26 | Player "Teddybear" (steamId=76561198190486863) initiated disconnect process...
1:42:27 | Player "Teddybear" (steamId=76561198190486863) disconnected early from server (EXIT NOW).
