=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-6-22_8-0-32
====================================================================================
8:0:32 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
8:0:32 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
8:0:32 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
8:0:32 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
8:0:32 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
8:0:32 | [PermissionManager] Perm (MenuBansManager) has been registered!
8:0:32 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
8:0:32 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
8:0:32 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
8:0:32 | [PermissionManager] Perm (MenuWebHooks) has been registered!
8:0:32 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
8:0:32 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
8:0:32 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
8:0:32 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
8:0:32 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
8:0:32 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
8:0:32 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
8:0:32 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
8:0:32 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
8:0:32 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
8:0:32 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
8:0:32 | [PermissionManager] Perm (EspToolsMenu) has been registered!
8:0:32 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
8:0:32 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
8:0:32 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
8:0:32 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
8:0:32 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
8:0:32 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
8:0:32 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
8:0:32 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
8:0:32 | [PermissionManager] Adding Super Admin (76561198190486863)
8:0:32 | [PermissionManager] Adding Super Admin (76561198859186484)
8:0:32 | [PermissionManager] Loaded UserGroups.json
8:0:32 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
8:0:32 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
8:0:32 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
8:0:32 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
8:0:32 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
8:0:32 | Building Sets Loaded: 1
8:0:32 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
8:0:32 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
8:1:19 | Player "crazycat3625" (steamId=76561198041201487) connected to server!
8:1:26 | Player "Teddybear" (steamId=76561198190486863) connected to server!
8:8:47 | "76561198190486863" (steamid=76561198190486863) teleported to (pos=<4533.040039, 14.630000, 11022.200195>)
8:8:47 | "Teddybear": (steamid=76561198190486863) teleported to (pos=4533.04,0,11022.2)
8:12:52 | "Teddybear" (steamid=76561198190486863) Spawned Item: (ReconDroneKit)
8:21:8 | "Teddybear" (steamid=76561198190486863) Spawned Item: (VitaminBottle)
8:25:23 | "Teddybear" (steamid=76561198190486863) Spawned Item: (Battery9V)
8:25:23 | "Teddybear" (steamid=76561198190486863) Spawned Item: (Battery9V)
8:25:23 | "Teddybear" (steamid=76561198190486863) Spawned Item: (Battery9V)
8:25:38 | "Teddybear" (steamid=76561198190486863) Spawned Item: (SewingKit)
8:25:39 | "Teddybear" (steamid=76561198190486863) Spawned Item: (SewingKit)
8:25:39 | "Teddybear" (steamid=76561198190486863) Spawned Item: (SewingKit)
8:27:2 | "Teddybear" (steamid=76561198190486863) Spawned Item: (SewingKit)
8:29:54 | "76561198190486863" (steamid=76561198190486863) teleported to (pos=<4438.020020, 2.830000, 11233.799805>)
8:29:54 | "Teddybear": (steamid=76561198190486863) teleported to (pos=4438.02,0,11233.8)
8:30:7 | "76561198190486863" (steamid=76561198190486863) teleported to (pos=<4544.270020, 14.620831, 11027.299805>)
8:30:7 | "Teddybear": (steamid=76561198190486863) teleported to (pos=4544.27,0,11027.3)
8:38:40 | "76561198190486863" (steamid=76561198190486863) teleported to (pos=<4413.669922, 14.990000, 10769.299805>)
8:38:40 | "Teddybear": (steamid=76561198190486863) teleported to (pos=4413.67,0,10769.3)
8:39:47 | "76561198190486863" (steamid=76561198190486863) teleported to (pos=<4859.049805, 13.140484, 10895.500000>)
8:39:47 | "Teddybear": (steamid=76561198190486863) teleported to (pos=4859.05,0,10895.5)
8:40:14 | "76561198190486863" (steamid=76561198190486863) teleported to (pos=<4810.939941, 13.742455, 10796.099609>)
8:40:14 | "Teddybear": (steamid=76561198190486863) teleported to (pos=4810.94,0,10796.1)
8:41:7 | "76561198190486863" (steamid=76561198190486863) teleported to (pos=<4545.049805, 14.622080, 11028.000000>)
8:41:7 | "Teddybear": (steamid=76561198190486863) teleported to (pos=4545.05,0,11028)
9:29:27 | Player "crazycat3625" (steamId=76561198041201487) initiated disconnect process...
9:29:28 | Player "crazycat3625" (steamId=76561198041201487) disconnected early from server (EXIT NOW).
9:43:27 | Player "Teddybear" (steamId=76561198190486863) initiated disconnect process...
9:43:28 | Player "Teddybear" (steamId=76561198190486863) disconnected early from server (EXIT NOW).
9:55:6 | Player "Teddybear" (steamId=76561198190486863) connected to server!
